taxa_va_agroupecuaria,taxa_va_servicos,taxa_va_industria,taxa_va_addess,participacao_impostos,cluster_hierarquico
0.0670458246686543,0.2232856462806604,0.0157091674391802,0.6656477839300479,0.0283115776814571,0.0
0.1238480346059808,0.2915177731803648,0.0474578396338787,0.4743981568553695,0.0627781957244059,0.0
0.1162413918086263,0.2494925697716564,0.0268611815875317,0.5674411018484958,0.0399637549836897,0.0
0.1190076308006864,0.2759593267370112,0.0577056482529482,0.4891379750994925,0.0581894191098616,0.0
0.0489150895423588,0.3041817361065266,0.3553146427672933,0.1962491591743225,0.0953393724094986,3.0
0.1486512122016921,0.199871002010851,0.0400652578062753,0.587092612968092,0.0243199150130895,0.0
0.3694012462747223,0.3416743429964779,0.0539040910322405,0.1558439447304253,0.0791763749661338,2.0
0.1130196954249,0.2826722338204593,0.0290495379586023,0.5293618811801072,0.0458966516159311,0.0
0.213498842114668,0.3504263287911387,0.1434823974867006,0.1717702968001796,0.1208221348073129,1.0
0.1437235923736703,0.3225655404921527,0.0362641781753879,0.4436591398619504,0.0537875490968385,0.0
0.0012956398513699,0.3668590502144391,0.2330309228806465,0.0732381031501143,0.3255762839034301,4.0
0.2882148427956625,0.2594501136982954,0.0455883182048824,0.3436281971772754,0.0631185281238841,2.0
0.2714399587377503,0.3199113799409199,0.0572982604210625,0.3067004266891733,0.0446616964411309,2.0
0.1420942641908412,0.316493755369061,0.050555904315073,0.4460409370250446,0.0448151390999801,0.0
0.0845627273772958,0.4511583824568108,0.0699735061186891,0.3241588644230047,0.0701455690005428,1.0
0.1235065728768469,0.3252345744107179,0.0465733561816199,0.4634926721710266,0.0411928243597886,0.0
0.2005542973686515,0.1502170893757585,0.4494000325321254,0.1124047496903191,0.0874175748551694,3.0
0.7131086617599072,0.0974765236938472,0.0211286755375077,0.1544904100648997,0.0137957289438381,2.0
0.1009851750746651,0.3772578618052083,0.2481276267956809,0.1912442396313364,0.0823857723961782,1.0
0.3358439128894028,0.3584343976052108,0.0813554574706813,0.1042572609906656,0.120109444172921,2.0
0.2218256677632259,0.3508782819191856,0.056348664473548,0.3201332422982227,0.0508037986468872,0.0
0.3490585078596191,0.2462957686280097,0.024457425084295,0.3419112409175096,0.0382711212423422,2.0
