id_municipio,ano,populacao_total,id_municipio_nome,pib,impostos_liquidos,valor_adicionado_precos_correntes_total,valor_adicionado_correntes_agropecuaria,valor_adicionado_correntes_industria,valor_adicionado_correntes_servicos,valor_adicionado_correntes_adm_defesa_edu_saude_seguranca_social,NM_UF,NM_UF_SIGLA,CD_MUN,AR_MUN_2024,nome_municipio,total_alfabetizados,quantidade_matricula,nome,centroide,nome_mesorregiao,longitude,latitude,pib_per_capita,va_per_capita,taxa_alfabetizacao,taxa_matricula,densidade_populacional,participacao_impostos,taxa_va_agroupecuaria,taxa_va_industria,taxa_va_servicos,taxa_va_addess,cluster_original,cluster_hierarquico
1100015,2016,23614,Alta Floresta D'Oeste,478217000,23202000,455014000,166143000,31598000,114541000,142733000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,6220,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,20251.41864995342,19268.82357923266,0.6541881934445668,0.26340306597780977,3.341386110650056,0.04851772312569398,0.3474217771430125,0.06607460629797769,0.23951678840359084,0.298469105029725,1.0,2.0
1100015,2017,23392,Alta Floresta D'Oeste,485374000,25125000,460249000,169623000,27342000,108357000,154926000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5956,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,20749.57250341997,19675.487346101232,0.6603967168262654,0.2546169630642955,3.309973062603799,0.05176420657060329,0.34946865715922154,0.056331818350385476,0.22324434353714867,0.3191889141157128,1.0,2.0
1100015,2018,23167,Alta Floresta D'Oeste,498980000,28255000,470725000,165892000,26060000,123502000,155271000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5682,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,21538.39513100531,20318.77239176415,0.6668105494884966,0.24526265809125047,3.278135513908268,0.056625516052747606,0.33246222293478694,0.05222654214597779,0.24750891819311396,0.31117680067337367,1.0,2.0
1100015,2019,22945,Alta Floresta D'Oeste,495775000,29351000,466424000,162668000,14468000,130314000,158973000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5419,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,21607.103944214425,20327.914578339507,0.6732621486162562,0.23617345826977554,3.2467224658620113,0.059202259089304626,0.32810851696838284,0.029182592910090264,0.2628490746810549,0.32065553930714535,1.0,2.0
1100015,2020,22728,Alta Floresta D'Oeste,570242000,35109000,535133000,203394000,20715000,150233000,160791000,Rondônia,RO,1100015.0,7067.127,Alta Floresta D'Oeste (RO),15448,5489,Alta Floresta D'Oeste,POINT(-62.274486209859 -12.4697063776483),Leste Rondoniense,-62.274486209859,-12.4697063776483,25089.845124956002,23545.09855684618,0.6796902499120028,0.24150827173530448,3.216016918897877,0.061568597192069335,0.35668014632384143,0.03632668235591205,0.2634548139211072,0.28196976020707,1.0,2.0
1100023,2016,102744,Ariquemes,2184346000,216460000,1967886000,145069000,354287000,879555000,588975000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27860,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,21260.083313867475,19153.293622985282,0.6934614186716499,0.2711593864361909,23.2129870182685,0.09909602233345816,0.06641301332298089,0.16219362683384408,0.4026628565254772,0.2696344809842397,3.0,1.0
1100023,2017,104441,Ariquemes,2287910000,231353000,2056557000,165217000,326362000,930388000,634591000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27617,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,21906.2437165481,19691.0887486715,0.6821937744755412,0.26442680556486436,23.596390807978864,0.10111979929280435,0.07221306782172375,0.14264634535449383,0.40665410789760087,0.2773671167135071,3.0,1.0
1100023,2018,106168,Ariquemes,2464704000,251954000,2212750000,163121000,341001000,1034088000,674541000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,27462,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,23215.130736191695,20841.96744781855,0.6710967523170823,0.2586655112651646,23.9865725079375,0.10222485134117525,0.06618279517540443,0.1383537333489133,0.4195586975149957,0.2736803283477448,3.0,1.0
1100023,2019,107863,Ariquemes,2579278000,284380000,2294898000,170831000,284066000,1136245000,703757000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,26776,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,23912.537199966624,21276.04461214689,0.6605508839917302,0.24824082400823266,24.369524436964642,0.11025566069264345,0.06623210061110124,0.11013392119810272,0.440528318389875,0.27285038681367424,3.0,1.0
1100023,2020,109523,Ariquemes,2817331000,295645000,2521686000,199723000,404715000,1206982000,710266000,Rondônia,RO,1100023.0,4426.143,Ariquemes (RO),71249,26128,Ariquemes,POINT(-62.9572500386403 -9.95200191172898),Leste Rondoniense,-62.9572500386403,-9.95200191172898,25723.647087826303,23024.259744528546,0.6505391561589803,0.23856176328259818,24.744568804035477,0.10493797143466635,0.0708908537903427,0.14365191736434235,0.42841327483352154,0.2521059825771271,3.0,1.0
1100031,2016,5693,Cabixi,133342000,5499000,127843000,59081000,4625000,24094000,40043000,Rondônia,RO,1100031.0,1314.352,Cabixi (RO),3822,1435,Cabixi,POINT(-60.639797858914 -13.4748946237262),Leste Rondoniense,-60.639797858914,-13.4748946237262,23422.097312489022,22456.174249077816,0.6713507816616898,0.2520639381696821,4.33141198096096,0.04123981941173824,0.4430786998845075,0.03468524545904516,0.180693254938429,0.3003029803062801,1.0,2.0
1100031,2017,5567,Cabixi,138110000,5293000,132817000,63022000,4771000,21875000,43150000,Rondônia,RO,1100031.0,1314.352,Cabixi (RO),3822,1409,Cabixi,POINT(-60.639797858914 -13.4748946237262),Leste Rondoniense,-60.639797858914,-13.4748946237262,24808.694090174242,23857.912699838333,0.6865457158253997,0.25309861684929047,4.235547250660401,0.03832452393020056,0.4563174281369923,0.03454492795597712,0.15838824125696907,0.31243211932517556,1.0,2.0
1100031,2018,5438,Cabixi,140503000,5651000,134852000,62337000,5179000,25172000,42164000,Rondônia,RO,1100031.0,1314.352,Cabixi (RO),3822,1443,Cabixi,POINT(-60.639797858914 -13.4748946237262),Leste Rondoniense,-60.639797858914,-13.4748946237262,25837.256344244208,24798.087532180947,0.7028319235012872,0.26535490989334315,4.137400026781258,0.040219781784018846,0.4436702419165427,0.03686042290911938,0.1791563169469691,0.30009323644334995,1.0,2.0
1100031,2019,5312,Cabixi,139976000,5998000,133978000,61501000,3268000,25553000,43656000,Rondônia,RO,1100031.0,1314.352,Cabixi (RO),3822,1349,Cabixi,POINT(-60.639797858914 -13.4748946237262),Leste Rondoniense,-60.639797858914,-13.4748946237262,26350.90361445783,25221.76204819277,0.7195030120481928,0.25395331325301207,4.041535296480699,0.04285020289192433,0.4393681774018403,0.02334685946162199,0.1825527233239984,0.31188203692061495,1.0,2.0
