,id_municipio,id_municipio_nome,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
71,3531407,Monte Aprazível,2002,210227000,16705000,193522000,16623000,77911000,79558000,19430000
72,3552551,Suzanápolis,2002,22989000,1204000,21785000,9318000,2467000,5929000,4071000
73,4101101,Andirá,2002,179590000,14348000,165242000,21774000,63384000,59434000,20651000
74,4104006,Campina Grande do Sul,2002,202678000,33300000,169377000,3876000,39281000,91265000,34955000
75,4110409,Indianópolis,2002,26124000,1644000,24480000,7112000,5655000,7307000,4405000
76,4110904,Itaguajé,2002,18007000,916000,17091000,5550000,1181000,5226000,5134000
77,4112801,Joaquim Távora,2002,47289000,4003000,43286000,7908000,8294000,18247000,8838000
78,4118600,Paula Freitas,2002,54710000,2967000,51743000,27369000,4059000,12966000,7348000
79,4123501,Santa Helena,2002,175439000,12096000,163342000,40166000,22436000,66828000,33912000
80,4126678,Tamarana,2002,56326000,2964000,53362000,22242000,9890000,11709000,9521000
81,4127882,Tunas do Paraná,2002,13658000,962000,12697000,2074000,2568000,3560000,4495000
82,4201000,Anita Garibaldi,2002,39402000,3009000,36393000,11941000,1867000,11500000,11085000
83,4205506,Fraiburgo,2002,345366000,34366000,311000000,93436000,62477000,113167000,41920000
84,4206504,Guaramirim,2002,266344000,36661000,229683000,15882000,95164000,90488000,28149000
85,4208708,Jacinto Machado,2002,62649000,4475000,58174000,20131000,10392000,16993000,10657000
86,4210555,Marema,2002,40146000,3357000,36789000,12010000,11019000,10287000,3472000
87,4211108,Monte Castelo,2002,34196000,2435000,31762000,9882000,3386000,10237000,8257000
88,4211801,Ouro,2002,49583000,2748000,46835000,25298000,2846000,10490000,8201000
89,4211850,Ouro Verde,2002,25198000,770000,24428000,14139000,1526000,5122000,3640000
90,4213104,Piratuba,2002,100765000,3231000,97534000,8724000,64746000,16941000,7123000
91,4300802,Antônio Prado,2002,119391000,22763000,96628000,21091000,23166000,40163000,12207000
92,4301107,Arroio dos Ratos,2002,54641000,4877000,49764000,4976000,8664000,23433000,12690000
93,4305355,Charqueadas,2002,189423000,34576000,154846000,7143000,57075000,59812000,30816000
94,4306700,Dona Francisca,2002,20721000,1269000,19451000,6423000,2697000,6180000,4151000
95,4307815,Estrela Velha,2002,29426000,1878000,27548000,13367000,1454000,8297000,4430000
96,4309555,Harmonia,2002,22267000,2130000,20137000,4493000,4473000,7078000,4093000
97,4311254,Lagoão,2002,16073000,426000,15647000,6487000,695000,2371000,6095000
98,4314506,Pinheiro Machado,2002,60302000,5478000,54824000,16161000,3498000,18745000,16420000
99,4317608,Santo Antônio da Patrulha,2002,205853000,20958000,184895000,23121000,49649000,77581000,34545000
100,4317756,Santo Antônio do Planalto,2002,31179000,1592000,29587000,15976000,3321000,7275000,3015000
101,4318051,São Domingos do Sul,2002,17060000,468000,16592000,7931000,2734000,3117000,2810000
102,4320008,Sapucaia do Sul,2002,779886000,147871000,632016000,4550000,268348000,238823000,120295000
103,4322533,Vale do Sol,2002,66508000,2797000,63710000,34205000,10176000,10392000,8938000
104,5004809,Japorã,2002,18997000,820000,18177000,7147000,467000,2385000,8178000
105,5004908,Jaraguari,2002,41692000,3241000,38451000,22417000,1116000,7709000,7209000
106,5106455,Planalto da Serra,2002,13643000,665000,12978000,6355000,701000,1987000,3935000
107,5106703,Ponte Branca,2002,6305000,377000,5927000,1224000,234000,1483000,2986000
108,5201603,Araçu,2002,13986000,687000,13299000,4001000,644000,3705000,4950000
109,5204656,Campinaçu,2002,11953000,563000,11389000,5087000,418000,2206000,3678000
110,5209291,Guaraíta,2002,9645000,329000,9316000,3336000,289000,1725000,3966000
111,5216809,Petrolina de Goiás,2002,35648000,2582000,33066000,9135000,3401000,10932000,9598000
112,5218805,Rio Verde,2002,1826931000,204571000,1622360000,424316000,378582000,671036000,148426000
113,1100254,Presidente Médici,2002,93482000,6548000,86934000,17412000,7121000,22862000,39540000
114,1301209,Coari,2002,867190000,15060000,852130000,55310000,617068000,95662000,84090000
115,1303106,Nova Olinda do Norte,2002,41191000,974000,40217000,7564000,1482000,5424000,25747000
116,1506112,Quatipuru,2002,17775000,322000,17453000,6713000,553000,2693000,7493000
117,1508407,Xinguara,2002,173508000,19388000,154120000,34556000,19108000,72149000,28308000
118,1706100,Cristalândia,2002,28139000,2517000,25622000,4726000,2541000,10679000,7677000
119,1717800,Ponte Alta do Bom Jesus,2002,8810000,311000,8498000,1550000,476000,1908000,4564000
120,1720002,Santa Terezinha do Tocantins,2002,5165000,173000,4991000,783000,289000,969000,2949000
121,2112100,Timbiras,2002,28997000,631000,28366000,5664000,1219000,6284000,15199000
122,2112209,Timon,2002,277572000,19405000,258168000,7957000,64497000,109063000,76650000
